comb	times
ΐΐ	0.0
ΐΑ	0.0
ΐΒ	0.0
ΐΓ	0.0
ΐΔ	0.0
ΐΕ	0.0
ΐΖ	0.0
ΐΚ	0.0
ΐΛ	0.0
ΐΜ	0.0
ΐΝ	0.0
ΐΟ	0.0
ΐΠ	0.0
ΐΣ	0.0
ΐΤ	0.0
ΐΦ	0.0
ΐΧ	0.0
ΐά	0.0
ΐέ	0.0
ΐή	0.0
ΐί	0.0
ΐα	6.0
ΐβ	0.0
ΐγ	0.0
ΐδ	1.0
ΐε	0.0
ΐζ	0.0
ΐη	0.0
ΐθ	0.0
ΐι	0.0
ΐκ	0.0
ΐλ	0.0
ΐμ	0.0
ΐν	0.0
ΐξ	0.0
ΐο	0.0
ΐπ	0.0
ΐρ	0.0
ΐς	0.0
ΐσ	0.0
ΐτ	0.0
ΐυ	0.0
ΐφ	0.0
ΐχ	0.0
ΐψ	0.0
ΐω	0.0
ΐϊ	0.0
ΐϋ	0.0
ΐό	0.0
ΐύ	0.0
ΐώ	0.0
ΐἀ	0.0
ΐἁ	0.0
ΐἂ	0.0
ΐἃ	0.0
ΐἄ	0.0
ΐἅ	0.0
ΐἈ	0.0
ΐἌ	0.0
ΐἐ	0.0
ΐἑ	0.0
ΐἓ	0.0
ΐἔ	0.0
ΐἕ	0.0
ΐἘ	0.0
ΐἙ	0.0
ΐἜ	0.0
ΐἝ	0.0
ΐἠ	0.0
ΐἡ	0.0
ΐἢ	0.0
ΐἣ	0.0
ΐἤ	0.0
ΐἥ	0.0
ΐἦ	0.0
ΐἨ	0.0
ΐἩ	0.0
ΐἪ	0.0
ΐἭ	0.0
ΐἰ	0.0
ΐἱ	0.0
ΐἳ	0.0
ΐἴ	0.0
ΐἵ	0.0
ΐἶ	0.0
ΐἷ	0.0
ΐἸ	0.0
ΐὀ	0.0
ΐὁ	0.0
ΐὃ	0.0
ΐὄ	0.0
ΐὅ	0.0
ΐὈ	0.0
ΐὉ	0.0
ΐὋ	0.0
ΐὍ	0.0
ΐὐ	0.0
ΐὑ	0.0
ΐὓ	0.0
ΐὔ	0.0
ΐὕ	0.0
ΐὖ	0.0
ΐὗ	0.0
ΐὙ	0.0
ΐὠ	0.0
ΐὡ	0.0
ΐὢ	0.0
ΐὥ	0.0
ΐὦ	0.0
ΐὧ	0.0
ΐὩ	0.0
ΐὭ	0.0
ΐὮ	0.0
ΐὰ	0.0
ΐὲ	0.0
ΐὴ	0.0
ΐὶ	0.0
ΐὸ	0.0
ΐὺ	0.0
ΐὼ	0.0
ΐᾔ	0.0
ΐᾖ	0.0
ΐᾗ	0.0
ΐᾧ	0.0
ΐᾳ	0.0
ΐᾶ	0.0
ΐᾷ	0.0
ΐῃ	0.0
ΐῄ	0.0
ΐῆ	0.0
ΐῇ	0.0
ΐῒ	0.0
ΐῖ	0.0
ΐῥ	0.0
ΐῦ	0.0
ΐῬ	0.0
ΐῳ	0.0
ΐῴ	0.0
ΐῶ	0.0
ΐῷ	0.0
ΐ—	0.0
ΐ’	0.0
ΐ⸀	0.0
ΐ⸁	0.0
ΐ⸂	0.0
ΐ⸃	0.0
Αΐ	0.0
ΑΑ	0.0
ΑΒ	0.0
ΑΓ	0.0
ΑΔ	0.0
ΑΕ	0.0
ΑΖ	0.0
ΑΚ	0.0
ΑΛ	0.0
ΑΜ	0.0
ΑΝ	0.0
ΑΟ	0.0
ΑΠ	0.0
ΑΣ	0.0
ΑΤ	0.0
ΑΦ	0.0
ΑΧ	0.0
Αά	0.0
