comb	times
AA	0.0
AB	0.0
AC	0.0
AD	0.0
AE	0.0
AF	0.0
AG	0.0
AH	0.0
AI	0.0
AJ	0.0
AL	0.0
AM	0.0
AN	0.0
AO	0.0
AP	0.0
AQ	0.0
AR	0.0
AS	0.0
AT	0.0
AU	0.0
AW	0.0
AY	0.0
AZ	0.0
A[	0.0
A]	0.0
Aa	0.0
Ab	11.0
Ac	1.0
Ad	2.0
Ae	0.0
Af	0.0
Ag	0.0
Ah	0.0
Ai	0.0
Aj	0.0
Ak	0.0
Al	4.0
Am	2.0
An	65.0
Ao	0.0
Ap	4.0
Aq	1.0
Ar	2.0
As	13.0
At	1.0
Au	0.0
Av	0.0
Aw	0.0
Ax	0.0
Ay	0.0
BA	0.0
BB	0.0
BC	0.0
BD	0.0
BE	0.0
BF	0.0
BG	0.0
BH	0.0
BI	0.0
BJ	0.0
BL	0.0
BM	0.0
BN	0.0
BO	0.0
BP	0.0
BQ	0.0
BR	0.0
BS	0.0
BT	0.0
BU	0.0
BW	0.0
BY	0.0
BZ	0.0
B[	0.0
B]	0.0
Ba	1.0
Bb	0.0
Bc	0.0
Bd	0.0
Be	27.0
Bf	0.0
Bg	0.0
Bh	0.0
Bi	0.0
Bj	0.0
Bk	0.0
Bl	0.0
Bm	0.0
Bn	0.0
Bo	0.0
Bp	0.0
Bq	0.0
Br	2.0
Bs	0.0
Bt	0.0
Bu	57.0
Bv	0.0
Bw	0.0
Bx	0.0
By	3.0
CA	0.0
CB	0.0
CC	0.0
CD	0.0
CE	0.0
CF	0.0
CG	0.0
CH	0.0
CI	0.0
CJ	0.0
CL	0.0
CM	0.0
CN	0.0
CO	0.0
CP	0.0
CQ	0.0
CR	0.0
CS	0.0
CT	0.0
CU	0.0
CW	0.0
CY	0.0
CZ	0.0
C[	0.0
C]	0.0
Ca	0.0
Cb	0.0
Cc	0.0
Cd	0.0
Ce	1.0
Cf	0.0
Cg	0.0
Ch	65.0
Ci	0.0
Cj	0.0
Ck	0.0
Cl	0.0
Cm	0.0
Cn	0.0
Co	0.0
Cp	0.0
Cq	0.0
Cr	0.0
Cs	0.0
Ct	0.0
Cu	0.0
Cv	0.0
Cw	0.0
Cx	0.0
Cy	0.0
DA	0.0
DB	0.0
DC	0.0
DD	0.0
DE	0.0
DF	0.0
DG	0.0
DH	0.0
DI	0.0
DJ	0.0
DL	0.0
DM	0.0
DN	0.0
DO	0.0
DP	0.0
DQ	0.0
DR	0.0
DS	0.0
DT	0.0
DU	0.0
DW	0.0
DY	0.0
DZ	0.0
D[	0.0
D]	0.0
Da	3.0
Db	0.0
Dc	0.0
Dd	0.0
De	2.0
Df	0.0
Dg	0.0
Dh	0.0
Di	1.0
Dj	0.0
Dk	0.0
Dl	0.0
Dm	0.0
Dn	0.0
Do	15.0
Dp	0.0
Dq	0.0
Dr	0.0
Ds	0.0
Dt	0.0
Du	0.0
Dv	0.0
Dw	0.0
Dx	0.0
Dy	0.0
EA	0.0
EB	0.0
EC	0.0
ED	0.0
EE	0.0
EF	0.0
EG	0.0
EH	0.0
EI	0.0
EJ	0.0
EL	0.0
EM	0.0
EN	0.0
EO	0.0
EP	0.0
EQ	0.0
ER	0.0
ES	0.0
ET	0.0
EU	0.0
EW	0.0
EY	0.0
EZ	0.0
E[	0.0
E]	0.0
Ea	0.0
Eb	0.0
Ec	0.0
Ed	0.0
Ee	0.0
Ef	0.0
Eg	0.0
Eh	0.0
Ei	0.0
Ej	0.0
Ek	0.0
El	1.0
Em	0.0
En	0.0
Eo	0.0
Ep	1.0
Eq	0.0
Er	1.0
Es	1.0
Et	0.0
Eu	0.0
Ev	4.0
Ew	0.0
Ex	0.0
Ey	0.0
FA	0.0
FB	0.0
FC	0.0
FD	0.0
FE	0.0
FF	0.0
FG	0.0
FH	0.0
FI	0.0
FJ	0.0
FL	0.0
FM	0.0
FN	0.0
FO	0.0
FP	0.0
FQ	0.0
FR	0.0
FS	0.0
FT	0.0
FU	0.0
FW	0.0
FY	0.0
FZ	0.0
F[	0.0
F]	0.0
Fa	4.0
Fb	0.0
Fc	0.0
Fd	0.0
Fe	0.0
Ff	0.0
Fg	0.0
Fh	0.0
Fi	2.0
Fj	0.0
Fk	0.0
Fl	0.0
Fm	0.0
Fn	0.0
Fo	87.0
Fp	0.0
Fq	0.0
Fr	0.0
Fs	0.0
Ft	0.0
Fu	0.0
Fv	0.0
Fw	0.0
Fx	0.0
Fy	0.0
GA	0.0
GB	0.0
GC	0.0
GD	0.0
GE	0.0
GF	0.0
GG	0.0
GH	0.0
GI	0.0
GJ	0.0
GL	0.0
GM	0.0
GN	0.0
GO	0.0
GP	0.0
GQ	0.0
GR	0.0
GS	0.0
GT	0.0
GU	0.0
GW	0.0
GY	0.0
GZ	0.0
G[	0.0
G]	0.0
Ga	1.0
Gb	0.0
Gc	0.0
Gd	0.0
Ge	21.0
Gf	0.0
Gg	0.0
Gh	0.0
Gi	18.0
Gj	0.0
Gk	0.0
Gl	0.0
Gm	0.0
Gn	0.0
Go	182.0
Gp	0.0
Gq	0.0
Gr	7.0
Gs	0.0
Gt	0.0
Gu	0.0
Gv	0.0
Gw	0.0
Gx	0.0
Gy	0.0
HA	0.0
HB	0.0
HC	0.0
HD	0.0
HE	0.0
HF	0.0
HG	0.0
HH	0.0
HI	0.0
HJ	0.0
HL	0.0
HM	0.0
HN	0.0
HO	0.0
HP	0.0
HQ	0.0
HR	0.0
HS	0.0
HT	0.0
HU	0.0
HW	0.0
HY	0.0
HZ	0.0
H[	0.0
H]	0.0
Ha	8.0
Hb	0.0
Hc	0.0
Hd	0.0
He	6.0
Hf	0.0
Hg	0.0
Hh	0.0
Hi	0.0
Hj	0.0
Hk	0.0
Hl	0.0
Hm	0.0
Hn	0.0
Ho	13.0
Hp	0.0
Hq	0.0
Hr	0.0
Hs	0.0
Ht	0.0
Hu	0.0
Hv	0.0
Hw	0.0
Hx	0.0
Hy	0.0
IA	0.0
IB	0.0
