alph	times
ก	2067.0
ข	1027.0
ค	1184.0
ฆ	6.0
ง	2350.0
จ	1076.0
ฉ	67.0
ช	644.0
ซ	218.0
ญ	346.0
ฏ	10.0
ฐ	31.0
ณ	117.0
ด	1344.0
ต	1162.0
ถ	289.0
ท	1385.0
ธ	174.0
น	2913.0
บ	894.0
ป	778.0
ผ	303.0
ฝ	36.0
พ	1722.0
ฟ	32.0
ภ	39.0
ม	1534.0
ย	1531.0
ร	3182.0
ฤ	12.0
ล	1005.0
ว	2036.0
ศ	96.0
ษ	99.0
ส	790.0
ห	938.0
อ	2359.0
ฮ	17.0
ะ	1688.0
ั	1716.0
า	4504.0
ำ	310.0
ิ	1064.0
ี	972.0
ึ	323.0
ื	592.0
ุ	369.0
ู	649.0
เ	2546.0
แ	884.0
โ	304.0
ใ	625.0
ไ	768.0
ๆ	33.0
็	602.0
่	3012.0
้	2840.0
๋	6.0
์	438.0
‘	46.0
’	46.0
“	19.0
”	19.0
