comb	times
กก	19.0
กข	34.0
กค	104.0
กฆ	0.0
กง	1.0
กจ	12.0
กฉ	2.0
กช	5.0
กซ	2.0
กญ	0.0
กฏ	8.0
กฐ	1.0
กณ	0.0
กด	3.0
กต	53.0
กถ	1.0
กท	156.0
กธ	0.0
กน	19.0
กบ	11.0
กป	8.0
กผ	9.0
กฝ	1.0
กพ	32.0
กฟ	0.0
กภ	0.0
กม	17.0
กย	21.0
กร	117.0
กฤ	0.0
กล	117.0
กว	39.0
กศ	6.0
กษ	22.0
กส	16.0
กห	8.0
กอ	27.0
กฮ	0.0
กะ	1.0
กั	165.0
กา	248.0
กำ	5.0
กิ	53.0
กี	28.0
กึ	0.0
กื	0.0
กุ	1.0
กู	0.0
กเ	298.0
กแ	24.0
กโ	4.0
กใ	14.0
กไ	16.0
กๆ	0.0
ก็	174.0
ก่	115.0
ก้	10.0
ก๋	0.0
ก์	1.0
ก‘	0.0
ก’	2.0
ก“	0.0
ก”	1.0
ขก	2.0
ขข	1.0
ขค	0.0
ขฆ	0.0
ขง	0.0
ขจ	3.0
ขฉ	0.0
ขช	0.0
ขซ	0.0
ขญ	0.0
ขฏ	0.0
ขฐ	0.0
ขณ	4.0
ขด	0.0
ขต	0.0
ขถ	0.0
ขท	0.0
ขธ	0.0
ขน	2.0
ขบ	0.0
ขป	0.0
ขผ	0.0
ขฝ	0.0
ขพ	0.0
ขฟ	0.0
ขภ	0.0
ขม	2.0
ขย	1.0
ขร	0.0
ขฤ	0.0
ขล	4.0
ขว	3.0
ขศ	0.0
ขษ	0.0
ขส	0.0
ขห	0.0
ขอ	502.0
ขฮ	0.0
ขะ	1.0
ขั	7.0
ขา	146.0
ขำ	0.0
ขิ	0.0
ขี	22.0
ขึ	35.0
ขื	1.0
ขุ	2.0
ขู	0.0
ขเ	0.0
ขแ	0.0
ขโ	1.0
ขใ	1.0
ขไ	0.0
ขๆ	0.0
ข็	6.0
ข่	24.0
ข้	243.0
ข๋	0.0
ข์	8.0
ข‘	0.0
ข’	0.0
ข“	0.0
ข”	0.0
คก	0.0
คข	0.0
คค	1.0
คฆ	0.0
คง	7.0
คจ	0.0
คฉ	0.0
คช	0.0
คซ	0.0
คญ	0.0
คฏ	0.0
คฐ	0.0
คณ	0.0
คด	0.0
คต	0.0
คถ	0.0
คท	0.0
คธ	0.0
คน	225.0
คบ	4.0
คป	0.0
คผ	0.0
คฝ	0.0
คพ	0.0
คฟ	0.0
คภ	0.0
คม	1.0
คย	9.0
คร	156.0
คฤ	0.0
คล	1.0
คว	386.0
คศ	0.0
คษ	0.0
คส	0.0
คห	0.0
คอ	7.0
คฮ	0.0
คะ	5.0
คั	17.0
คา	8.0
คำ	22.0
คิ	32.0
คี	1.0
คึ	0.0
คื	54.0
คุ	34.0
คู	0.0
คเ	0.0
คแ	0.0
คโ	0.0
คใ	0.0
คไ	0.0
คๆ	0.0
ค็	0.0
ค่	11.0
ค้	4.0
ค๋	0.0
ค์	198.0
ค‘	0.0
ค’	1.0
ค“	0.0
ค”	0.0
ฆก	0.0
ฆข	0.0
ฆค	0.0
ฆฆ	0.0
ฆง	0.0
ฆจ	0.0
ฆฉ	0.0
ฆช	0.0
ฆซ	0.0
ฆญ	0.0
ฆฏ	0.0
ฆฐ	0.0
ฆณ	0.0
ฆด	0.0
ฆต	0.0
ฆถ	0.0
ฆท	0.0
ฆธ	0.0
ฆน	0.0
ฆบ	0.0
ฆป	0.0
ฆผ	0.0
ฆฝ	0.0
ฆพ	0.0
ฆฟ	0.0
ฆภ	0.0
ฆม	0.0
ฆย	0.0
ฆร	0.0
ฆฤ	0.0
ฆล	0.0
ฆว	0.0
ฆศ	0.0
ฆษ	0.0
ฆส	0.0
ฆห	0.0
ฆอ	0.0
ฆฮ	0.0
ฆะ	2.0
ฆั	0.0
